date,event,location,result,fighter1,fighter2,method_of_victory,fight_duration,fight_format,f1_knockdown,f2_knockdown,f1_sig_strike_land,f2_sig_strike_land,f1_sig_strike_att,f2_sig_strike_att,f1_total_strike_land,f2_total_strike_land,f1_total_strike_att,f2_total_strike_att,f1_takedown_land,f2_takedown_land,f1_takedown_att,f2_takedown_att,f1_sub_att,f2_sub_att,f1_reversal,f2_reversal,f1_control_time,f2_control_time
"December 06, 2025",UFC 323: Dvalishvili vs. Yan 2,"Las Vegas, Nevada, USA",1,Iwo Baraniewski,Ibo Aslan,KO/TKO,89,3,2,1,22,30,32,53,28,31,39,54,0,0,1,1,0,0,0,0,11,6
"December 06, 2025",UFC 323: Dvalishvili vs. Yan 2,"Las Vegas, Nevada, USA",1,Mansur Abdul-Malik,Antonio Trocoli,Submission,69,3,0,0,2,3,4,6,2,3,4,6,1,0,1,1,1,0,0,0,42,0
"December 06, 2025",UFC 323: Dvalishvili vs. Yan 2,"Las Vegas, Nevada, USA",0,Muhammad Naimov,Mairon Santos,KO/TKO,621,3,0,1,18,27,48,45,35,43,69,61,0,0,5,1,0,0,0,0,128,47
"December 06, 2025",UFC 323: Dvalishvili vs. Yan 2,"Las Vegas, Nevada, USA",0,Edson Barboza,Jalin Turner,KO/TKO,144,3,0,2,10,39,20,66,10,43,20,73,0,0,0,0,0,0,1,0,7,38
"December 06, 2025",UFC 323: Dvalishvili vs. Yan 2,"Las Vegas, Nevada, USA",0,Marvin Vettori,Brunno Ferreira,Decision - Unanimous,900,3,0,0,88,77,186,149,90,77,188,149,1,1,4,7,0,0,0,0,68,5
"December 06, 2025",UFC 323: Dvalishvili vs. Yan 2,"Las Vegas, Nevada, USA",0,Nazim Sadykhov,Fares Ziam,KO/TKO,599,3,0,1,4,31,16,49,7,76,21,96,0,2,2,5,0,2,0,0,39,358
"April 26, 2025",UFC Fight Night: Machado Garry vs. Prates,"Kansas City, Missouri, USA",0,Chelsea Chandler,Joselyne Edwards,KO/TKO,151,3,0,0,10,30,23,42,11,35,24,47,0,1,0,1,0,0,0,0,0,49
"April 26, 2025",UFC Fight Night: Machado Garry vs. Prates,"Kansas City, Missouri, USA",1,Jaqueline Amorim,Polyana Viana,Submission,409,3,0,0,6,0,8,6,29,23,43,31,2,0,2,0,1,0,0,0,394,0
"April 26, 2025",UFC Fight Night: Machado Garry vs. Prates,"Kansas City, Missouri, USA",1,Timmy Cuamba,Roberto Romero,KO/TKO,535,3,1,0,33,35,64,67,35,45,66,79,1,0,4,3,0,0,0,0,12,139
"April 26, 2025",UFC Fight Night: Machado Garry vs. Prates,"Kansas City, Missouri, USA",1,Malcolm Wellmaker,Cameron Saaiman,KO/TKO,119,3,1,0,6,9,12,18,6,9,12,18,0,0,0,0,0,0,0,0,1,0
